#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	SRR5024_pe_SRR5024282_db_meta4.metaphlan	SRR5024_pe_SRR5024281_db_meta4.metaphlan	SRR5024_pe_SRR5024283_db_meta4.metaphlan	SRR5024_pe_SRR5024280_db_meta4.metaphlan
k__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	0.00767	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1507|o__OFGB1507	0.00724	0.05019	0.08566	0.00537
k__Bacteria|p__Firmicutes|c__CFGB2898|o__OFGB2898	0.00713	0.0	0.0	0.01245
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	0.00675	0.01515	0.19648	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	0.00565	0.03705	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.00309	0.0	0.0	5.65602
k__Bacteria|p__Firmicutes|c__CFGB1303|o__OFGB1303	0.00306	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	0.00282	0.16707	2.44997	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	0.00207	0.0	0.0	0.13037
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126	0.00127	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211	0.00102	0.0	0.0	0.03647
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia|o__Candidatus_Saccharimonales	0.00046	0.0	0.0	0.00729
k__Bacteria|p__Firmicutes|c__CFGB3012|o__OFGB3012	0.00028	0.0	0.0	6.07772
k__Bacteria|p__Tenericutes|c__CFGB4862|o__OFGB4862	0.00028	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806|f__FGB4806	21.58999	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	15.63724	39.24307	16.20097	18.08064
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	7.18938	9.48672	41.0873	0.00141
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae	5.13445	0.02926	0.6025	11.10542
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	5.07946	13.91051	6.30824	27.46874
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	5.01681	1.96519	3.41742	0.01529
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	4.93859	2.4914	1.21619	2.22059
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	4.21742	0.18929	0.79902	0.4665
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	3.89641	17.88432	19.23399	0.00372
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	3.40723	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2.55541	0.02356	0.0	1.30511
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069|f__FGB3069	2.06946	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	1.86652	0.48291	2.28299	1.95855
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	1.74921	1.52832	3.22952	5.86481
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	1.55335	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	1.11233	1.28582	0.25159	3.00177
k__Bacteria|p__Firmicutes|c__Clostridia|o__Candidatus_Borkfalkiales|f__Candidatus_Borkfalkiaceae	1.01171	0.01173	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1249|o__OFGB1249|f__FGB1249	0.91731	0.0	0.0	0.10256
k__Bacteria|p__Firmicutes|c__CFGB3022|o__OFGB3022|f__FGB3022	0.85721	0.00142	0.0	0.0
